Volcano Name,Country,Volcanic Region,Volcanic Province,Volcano Landform,Primary Volcano Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (m),Tectonic Setting,Dominant Rock Type
Bora-Bericha-Tullu Moye,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Cluster,Pyroclastic cone,Eruption Observed,1900 CE,8.2114,39.0812,2345,Rift zone / Continental crust (>25 km),Rhyolite
Unnamed,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Cluster,Fissure vent(s),Evidence Credible,Unknown,8.013,39.062,1886,Intraplate / Continental crust (>25 km),Basalt / Picro-Basalt
East Ziway,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Cluster,Fissure vent(s),Evidence Credible,Unknown,7.874,38.902,1889,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
Butajiri-Silti Field,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Cluster,Volcanic field,Evidence Credible,Unknown,8.05,38.35,2281,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
Aluto,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Composite,Stratovolcano,Eruption Dated,1550 CE,7.77,38.78,2335,Rift zone / Continental crust (>25 km),Rhyolite
Shala,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Caldera,Caldera,Evidence Credible,Unknown,7.4569,38.5571,2075,Rift zone / Continental crust (>25 km),Rhyolite
Corbetti,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Caldera,Caldera,Evidence Credible,396 BCE,7.193,38.39,2289,Rift zone / Continental crust (>25 km),Rhyolite
Bilate River Field,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Cluster,Volcanic field,Unrest / Holocene,Unknown,7.07,38.1,1700,Intraplate / Continental crust (>25 km),No Data (checked)
Northern Lake Abaya Volcanic Field,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Cluster,Volcanic field,Evidence Credible,Unknown,6.76,37.97,1594,Intraplate / Continental crust (>25 km),
Korath Range,Ethiopia,East African Volcanic Regions,Kenyan Rift Zone,Cluster,Tuff cone(s),Evidence Uncertain,Unknown,5.117,35.892,912,Rift zone / Intermediate crust (15-25 km),Trachybasalt / Tephrite Basanite
Mega Volcanic Field,Ethiopia,East African Volcanic Regions,Kenyan Rift Zone,Cluster,Volcanic field,Evidence Credible,Unknown,3.971,38.213,1500,Rift zone / Intermediate crust (15-25 km),
Lake Turkana North Island,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Minor (Basaltic),Tuff cone(s),Evidence Credible,Unknown,4.0631,36.0458,490,Rift zone / Continental crust (>25 km),Trachyandesite / Basaltic Trachyandesite
Lake Turkana Central Island,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Minor (Basaltic),Tuff cone(s),Evidence Credible,Unknown,3.496,36.0365,518,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
Lake Turkana South Island,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Stratovolcano,Eruption Observed,1888 CE,2.6364,36.5958,800,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
Marsabit,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,Evidence Uncertain,Unknown,2.32,37.97,1707,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
"Barrier, The",Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,Eruption Observed,1921 CE,2.32,36.57,1032,Rift zone / Continental crust (>25 km),Trachyte / Trachydacite
Namarunu,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,Eruption Dated,6550 BCE,1.98,36.43,817,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
Segererua Plateau,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Cluster,Pyroclastic cone(s),Evidence Credible,Unknown,1.57,37.9,699,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
Emuruangogolak,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,Eruption Dated,1910 CE,1.5,36.33,1285,Rift zone / Continental crust (>25 km),Trachyte / Trachydacite
Silali,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,Eruption Dated,5050 BCE,1.15,36.23,1528,Rift zone / Continental crust (>25 km),Trachyte / Trachydacite
Paka,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,Eruption Dated,7550 BCE,0.92,36.18,1697,Rift zone / Continental crust (>25 km),Trachyte / Trachydacite
Korosi,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,Evidence Credible,Unknown,0.77,36.12,1446,Rift zone / Continental crust (>25 km),Trachyte / Trachydacite
Ol Kokwe,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,Evidence Credible,Unknown,0.62,36.075,1130,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
Nyambeni Hills,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,Evidence Credible,Unknown,0.23,37.87,750,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
Menengai,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,Eruption Dated,6050 BCE,-0.2,36.07,2278,Rift zone / Continental crust (>25 km),Trachyte / Trachydacite
Homa Mountain,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Composite,Complex,Evidence Credible,Unknown,-0.38,34.5,1751,Rift zone / Continental crust (>25 km),Foidite
Elmenteita Badlands,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Cluster,Pyroclastic cone(s),Evidence Credible,Unknown,-0.546,36.249,2126,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
"Eburru, Ol Doinyo",Kenya,East African Volcanic Regions,Kenyan Rift Zone,Composite,Complex,Evidence Credible,Unknown,-0.65,36.22,2856,Rift zone / Continental crust (>25 km),Rhyolite
Olkaria,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Cluster,Pyroclastic cone(s),Eruption Dated,1770 CE,-0.904,36.292,2434,Rift zone / Continental crust (>25 km),Rhyolite
Longonot,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Composite,Stratovolcano,Eruption Dated,1863 CE,-0.914,36.446,2776,Rift zone / Continental crust (>25 km),Trachyte / Trachydacite
Suswa,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,Evidence Credible,Unknown,-1.151,36.357,2356,Rift zone / Continental crust (>25 km),Phonolite
"Lengai, Ol Doinyo",Tanzania,East African Volcanic Regions,Kenyan Rift Zone,Composite,Stratovolcano,Eruption Observed,2024 CE,-2.764,35.914,2962,Rift zone / Continental crust (>25 km),Foidite
Chyulu Hills,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Cluster,Volcanic field,Eruption Dated,1855 CE,-2.68,37.88,2188,Rift zone / Continental crust (>25 km),Trachybasalt / Tephrite Basanite
Meru,Tanzania,East African Volcanic Regions,Kenyan Rift Zone,Composite,Stratovolcano,Eruption Observed,1910 CE,-3.244,36.75,4550,Rift zone / Continental crust (>25 km),Phonolite
Igwisi Hills,Tanzania,East African Volcanic Regions,Albertine Rift Zone,Cluster,Pyroclastic cone(s),Eruption Dated,10450 BCE,-4.889,31.933,1146,Rift zone / Continental crust (>25 km),Foidite
Ngozi,Tanzania,East African Volcanic Regions,Tanganyika-Rukwa-Malawi Rift Zone,Caldera,Caldera,Eruption Dated,1450 CE,-9.0036,33.552,2614,Rift zone / Continental crust (>25 km),Trachyte / Trachydacite
Rungwe,Tanzania,East African Volcanic Regions,Tanganyika-Rukwa-Malawi Rift Zone,Composite,Stratovolcano,Eruption Dated,1250 CE,-9.135,33.668,2953,Rift zone / Continental crust (>25 km),Trachyte / Trachydacite
Kyejo,Tanzania,East African Volcanic Regions,Tanganyika-Rukwa-Malawi Rift Zone,Composite,Stratovolcano,Eruption Observed,1800 CE,-9.229,33.792,2176,Rift zone / Continental crust (>25 km),Trachyte / Trachydacite
Fort Portal,Uganda,East African Volcanic Regions,Albertine Rift Zone,Cluster,Volcanic field,Eruption Dated,2120 BCE,0.7,30.25,1615,Rift zone / Continental crust (>25 km),Foidite
Kyatwa,Uganda,East African Volcanic Regions,Albertine Rift Zone,Cluster,Volcanic field,Evidence Uncertain,Unknown,0.45,30.25,1430,Rift zone / Continental crust (>25 km),Foidite
Katwe-Kikorongo,Uganda,East African Volcanic Regions,Albertine Rift Zone,Cluster,Volcanic field,Evidence Credible,Unknown,-0.08,29.92,1067,Rift zone / Continental crust (>25 km),Foidite
Bunyaruguru,Uganda,East African Volcanic Regions,Albertine Rift Zone,Cluster,Volcanic field,Evidence Credible,Unknown,-0.2,30.08,1554,Rift zone / Continental crust (>25 km),Foidite
Katunga,Uganda,East African Volcanic Regions,Albertine Rift Zone,Cluster,Volcanic field,Evidence Credible,Unknown,-0.471,30.191,1707,Rift zone / Continental crust (>25 km),Foidite
Nyamulagira,DR Congo,East African Volcanic Regions,Albertine Rift Zone,Shield,Shield,Eruption Observed,2024 CE,-1.408,29.2,3058,Rift zone / Continental crust (>25 km),Trachybasalt / Tephrite Basanite
Nyiragongo,DR Congo,East African Volcanic Regions,Albertine Rift Zone,Composite,Stratovolcano,Eruption Observed,2024 CE,-1.52,29.25,3470,Rift zone / Continental crust (>25 km),Foidite
Karisimbi,DR Congo-Rwanda,East African Volcanic Regions,Albertine Rift Zone,Composite,Stratovolcano,Eruption Dated,8050 BCE,-1.506,29.45,4490,Rift zone / Continental crust (>25 km),Trachybasalt / Tephrite Basanite
Visoke,DR Congo-Rwanda,East African Volcanic Regions,Albertine Rift Zone,Composite,Stratovolcano,Eruption Observed,1957 CE,-1.458,29.485,3696,Rift zone / Continental crust (>25 km),Trachyandesite / Basaltic Trachyandesite
Muhavura,Uganda-Rwanda,East African Volcanic Regions,Albertine Rift Zone,Composite,Stratovolcano,Evidence Credible,Unknown,-1.383,29.678,4103,Rift zone / Continental crust (>25 km),Trachybasalt / Tephrite Basanite
